# =============================================================================
# NXTUP Platform - Training Dataset (Zero Data Leakage)
# =============================================================================
# PURPOSE: Independent dataset generation for NXTUP Placement Risk Modeling.
# RECORDS: 1200 | RANDOM SEED: 4242
# SIH 2026 (Problem ID: SIH26135) | Team Lumora
# =============================================================================
attendance_pct,assessment_avg_score,certification_status,skill_gap_score,has_apprenticeship,training_duration_weeks,prior_experience_years,course_domain,state,num_job_applications,verified_skill_count,placement_status
81.1,60.2,1,41.0,0,14,0,Information Technology,Telangana,9,9,1
87.6,82.4,1,37.2,0,20,1,Data Science & AI,Uttar Pradesh,5,9,1
62.7,34.8,0,71.6,0,12,0,Industrial Electronics,Delhi,10,3,0
68.9,51.7,0,68.0,0,14,0,Data Science & AI,Rajasthan,8,5,0
91.0,83.2,1,19.8,1,14,0,Information Technology,Telangana,5,11,1
86.8,81.6,1,35.2,0,16,0,Data Science & AI,Maharashtra,10,11,1
77.2,60.7,1,52.7,0,14,0,Cloud Infrastructure,Uttar Pradesh,14,9,1
67.8,39.9,0,72.1,0,18,1,Information Technology,Kerala,5,4,0
66.2,41.8,0,71.7,0,16,1,Industrial Electronics,Maharashtra,2,4,0
61.1,45.2,0,78.0,0,12,0,Industrial Electronics,Maharashtra,5,4,0
89.9,71.8,0,41.2,1,16,0,Information Technology,Tamil Nadu,7,7,1
72.2,56.2,1,41.9,0,10,0,Healthcare Technology,West Bengal,12,9,1
86.0,67.8,1,29.3,0,14,0,Healthcare Technology,Telangana,16,8,1
93.0,89.7,1,22.4,1,20,0,Information Technology,Telangana,8,12,1
71.8,52.9,0,66.3,1,16,2,Cloud Infrastructure,Telangana,8,4,1
95.2,79.2,0,43.5,0,14,0,Healthcare Technology,Tamil Nadu,16,10,1
65.6,36.0,0,69.5,0,20,2,Data Science & AI,Maharashtra,5,3,0
75.6,61.0,1,40.8,1,14,0,Information Technology,Karnataka,8,8,1
67.4,53.1,1,54.4,0,14,1,Information Technology,Uttar Pradesh,7,8,1
58.9,36.6,0,79.6,0,20,2,Data Science & AI,Telangana,5,2,0
75.3,55.9,0,55.6,0,12,1,Cloud Infrastructure,Uttar Pradesh,21,5,1
87.8,68.8,1,26.5,0,14,0,Data Science & AI,West Bengal,9,8,1
74.5,58.8,1,53.5,1,24,0,Industrial Electronics,Telangana,18,7,1
73.6,57.3,1,46.0,0,16,0,Cloud Infrastructure,Maharashtra,10,7,1
61.2,33.0,0,73.3,1,14,3,Data Science & AI,Telangana,7,5,0
90.7,83.3,1,30.8,0,14,0,Information Technology,Karnataka,14,11,1
83.8,59.3,0,57.7,0,14,1,Information Technology,Maharashtra,14,8,1
81.4,65.4,1,44.7,0,16,0,Cloud Infrastructure,Uttar Pradesh,11,8,1
67.4,42.9,0,75.9,0,20,0,Information Technology,Maharashtra,9,6,0
74.2,60.8,0,60.6,0,16,0,Industrial Electronics,Delhi,7,7,0
66.2,35.7,0,66.6,1,16,0,Data Science & AI,Delhi,9,4,0
62.2,44.5,0,77.7,0,16,0,Data Science & AI,Karnataka,7,3,0
51.9,32.0,0,85.0,1,20,0,Data Science & AI,Gujarat,9,2,0
87.3,67.7,1,41.2,0,20,0,Information Technology,Kerala,12,10,1
89.9,76.6,0,44.4,0,20,0,Information Technology,Rajasthan,10,8,1
90.8,76.4,0,40.1,1,12,0,Healthcare Technology,Telangana,13,7,1
80.1,61.7,0,55.1,0,10,0,Healthcare Technology,Gujarat,9,8,1
82.0,63.8,0,53.3,1,18,0,Information Technology,Telangana,11,8,1
86.5,69.6,1,34.8,0,18,0,Information Technology,Delhi,19,11,1
92.0,78.5,1,36.1,0,10,0,Healthcare Technology,Karnataka,15,11,1
82.1,69.1,0,50.3,0,14,0,Healthcare Technology,Karnataka,6,8,1
92.6,74.3,0,44.2,1,16,0,Cloud Infrastructure,Telangana,11,7,1
73.2,57.0,0,58.4,0,14,0,Healthcare Technology,West Bengal,9,6,0
54.3,32.0,0,85.0,0,16,0,Data Science & AI,Tamil Nadu,6,2,0
85.2,70.0,0,42.9,0,14,0,Data Science & AI,Gujarat,8,7,1
78.5,56.2,1,47.0,0,14,1,Information Technology,Telangana,11,9,1
67.5,36.8,0,66.8,0,20,0,Data Science & AI,Maharashtra,12,4,0
92.1,81.6,1,28.1,0,12,1,Cloud Infrastructure,Maharashtra,4,12,1
89.2,74.8,1,27.4,0,14,1,Data Science & AI,Tamil Nadu,10,11,1
86.8,77.2,1,29.0,1,20,0,Data Science & AI,Maharashtra,10,10,1
89.9,80.3,1,34.0,0,16,0,Cloud Infrastructure,Kerala,11,11,1
82.3,58.8,1,39.4,0,12,1,Healthcare Technology,Tamil Nadu,15,9,0
67.9,37.3,0,66.1,0,14,0,Data Science & AI,West Bengal,6,4,0
80.7,66.4,0,56.8,0,14,0,Data Science & AI,Karnataka,14,7,1
72.2,44.4,0,71.4,0,16,0,Information Technology,Telangana,9,4,0
80.8,59.4,0,51.3,1,12,0,Cloud Infrastructure,Maharashtra,13,8,1
63.0,53.8,0,71.2,1,18,1,Information Technology,Karnataka,7,4,1
70.1,46.3,0,69.5,1,14,0,Information Technology,Tamil Nadu,11,4,0
69.2,47.5,0,68.2,0,14,0,Cloud Infrastructure,Maharashtra,9,5,0
85.6,79.6,1,29.4,0,16,0,Cloud Infrastructure,Maharashtra,15,9,1
79.0,55.0,0,59.6,1,20,0,Information Technology,Karnataka,11,6,0
81.7,76.2,1,40.8,1,14,0,Cloud Infrastructure,Karnataka,8,9,1
87.3,76.0,1,26.7,1,20,1,Information Technology,Tamil Nadu,9,11,1
78.2,56.3,1,44.7,1,14,0,Information Technology,Maharashtra,19,8,1
86.0,72.8,1,38.6,0,20,0,Information Technology,Telangana,13,10,1
90.8,74.2,0,41.9,0,24,0,Industrial Electronics,Karnataka,12,7,1
89.1,87.4,1,24.5,0,18,0,Information Technology,Delhi,9,10,1
83.0,68.3,0,50.0,1,14,0,Information Technology,Maharashtra,14,8,1
76.8,52.7,0,55.7,0,14,0,Data Science & AI,Kerala,8,7,0
56.3,32.0,0,78.8,0,16,2,Data Science & AI,Maharashtra,7,2,0
77.8,66.1,0,52.9,0,10,1,Healthcare Technology,West Bengal,8,8,1
70.6,45.7,0,68.1,0,14,2,Information Technology,Karnataka,2,4,0
60.8,33.1,0,78.4,0,12,0,Cloud Infrastructure,Tamil Nadu,9,4,0
57.2,32.0,0,85.0,1,14,0,Cloud Infrastructure,Karnataka,9,2,0
95.4,84.4,1,16.9,0,16,0,Cloud Infrastructure,Telangana,11,10,1
81.7,70.3,1,39.5,0,16,0,Data Science & AI,Maharashtra,8,10,1
62.3,46.9,1,68.0,1,16,0,Cloud Infrastructure,Tamil Nadu,9,5,1
59.5,32.0,0,84.2,0,16,0,Cloud Infrastructure,Karnataka,6,3,0
75.3,56.3,0,56.1,0,10,1,Healthcare Technology,Tamil Nadu,13,5,1
89.1,77.5,1,37.6,1,20,0,Data Science & AI,Maharashtra,7,10,1
85.8,67.6,0,47.3,0,16,1,Information Technology,Kerala,8,7,1
85.1,75.3,1,31.8,0,16,0,Information Technology,Karnataka,13,10,1
77.1,64.6,1,46.9,0,16,0,Cloud Infrastructure,West Bengal,11,9,0
72.2,45.6,0,59.3,0,14,1,Data Science & AI,Maharashtra,7,4,1
81.0,69.0,1,38.9,0,12,0,Healthcare Technology,Maharashtra,15,10,1
72.9,45.5,0,73.3,0,20,0,Data Science & AI,Tamil Nadu,7,6,0
68.1,47.6,0,73.7,0,12,1,Industrial Electronics,Gujarat,10,4,1
80.9,65.8,1,35.9,0,14,1,Healthcare Technology,Karnataka,13,8,1
99.5,90.4,1,24.2,0,16,0,Data Science & AI,Karnataka,11,11,0
72.2,60.3,0,53.5,0,20,1,Data Science & AI,West Bengal,12,7,1
87.4,65.5,1,29.1,0,16,0,Information Technology,Telangana,10,8,1
84.1,67.6,1,39.0,0,12,0,Cloud Infrastructure,Telangana,14,8,1
82.8,66.3,0,49.4,1,14,0,Cloud Infrastructure,Tamil Nadu,8,8,1
82.1,63.0,1,43.4,0,12,1,Industrial Electronics,Gujarat,12,8,1
80.1,58.3,1,46.6,1,14,3,Information Technology,West Bengal,10,9,1
76.8,60.6,1,48.3,0,14,0,Healthcare Technology,Gujarat,10,9,1
65.3,49.9,0,76.6,0,14,2,Information Technology,Gujarat,6,6,0
69.6,46.7,0,73.8,0,12,4,Cloud Infrastructure,Karnataka,5,4,1
74.8,55.8,0,59.2,0,14,0,Data Science & AI,Rajasthan,10,5,1
82.9,74.0,1,38.1,1,14,0,Information Technology,Karnataka,16,9,1
83.0,68.1,1,35.5,0,14,0,Data Science & AI,Maharashtra,11,10,1
51.3,32.0,0,81.4,0,12,1,Cloud Infrastructure,Kerala,5,1,0
78.1,55.2,0,56.1,1,14,3,Data Science & AI,Gujarat,6,6,1
83.8,60.3,0,49.6,0,20,1,Information Technology,Gujarat,11,8,0
78.8,55.4,1,41.4,0,14,1,Data Science & AI,Gujarat,10,7,0
78.3,60.8,1,45.9,1,16,0,Cloud Infrastructure,Karnataka,7,9,1
72.7,49.7,0,69.4,0,12,2,Cloud Infrastructure,Telangana,12,6,1
80.4,61.1,0,60.5,1,20,1,Information Technology,Tamil Nadu,8,6,1
78.1,53.2,0,56.5,0,18,1,Information Technology,Rajasthan,10,7,1
63.6,36.4,0,73.2,0,16,1,Cloud Infrastructure,Tamil Nadu,8,5,0
76.4,64.9,1,49.2,0,20,0,Data Science & AI,Uttar Pradesh,11,7,1
74.7,48.7,0,57.9,0,20,1,Information Technology,Gujarat,11,6,0
88.1,69.8,0,46.6,0,12,0,Healthcare Technology,Karnataka,11,7,1
88.9,69.2,1,29.8,1,12,0,Cloud Infrastructure,Tamil Nadu,10,8,1
83.5,66.8,0,46.9,0,14,0,Healthcare Technology,Uttar Pradesh,13,6,0
95.4,86.6,1,23.7,0,14,4,Data Science & AI,Uttar Pradesh,11,11,1
79.2,62.1,1,37.7,0,18,0,Information Technology,Telangana,9,8,1
90.4,78.5,1,28.2,0,12,0,Industrial Electronics,Rajasthan,16,11,1
70.7,53.6,0,56.8,0,10,0,Healthcare Technology,Maharashtra,4,5,0
79.7,57.2,0,56.6,1,12,2,Industrial Electronics,Karnataka,15,6,1
74.6,53.3,0,65.2,0,20,0,Data Science & AI,Tamil Nadu,7,4,0
62.4,38.0,1,56.8,1,12,0,Industrial Electronics,Tamil Nadu,8,5,1
92.2,81.5,1,28.2,0,16,0,Data Science & AI,Tamil Nadu,16,9,1
74.3,62.8,0,64.6,1,16,0,Cloud Infrastructure,Tamil Nadu,18,7,1
76.6,64.4,1,41.2,0,12,0,Healthcare Technology,Tamil Nadu,10,7,1
80.9,70.7,0,53.1,1,10,0,Healthcare Technology,Maharashtra,14,8,1
82.0,66.3,0,48.2,0,10,0,Healthcare Technology,Uttar Pradesh,10,7,1
83.5,73.6,1,29.2,0,16,0,Data Science & AI,Maharashtra,9,10,1
92.1,77.8,1,35.2,0,14,0,Information Technology,Tamil Nadu,16,11,1
87.9,64.7,0,54.8,0,16,0,Cloud Infrastructure,Rajasthan,12,7,1
77.9,62.4,0,58.8,1,12,0,Cloud Infrastructure,Maharashtra,7,5,0
81.1,64.1,1,32.9,1,14,1,Information Technology,Tamil Nadu,13,9,1
76.6,59.3,0,59.8,1,18,0,Information Technology,Karnataka,6,5,1
74.0,52.4,1,49.1,1,14,0,Cloud Infrastructure,Karnataka,2,8,1
88.5,80.9,1,24.6,0,14,0,Data Science & AI,Maharashtra,15,9,1
81.2,68.5,0,50.2,1,16,0,Industrial Electronics,Gujarat,6,8,1
89.8,77.1,1,19.5,1,18,0,Information Technology,Maharashtra,6,10,1
92.2,85.5,1,30.3,1,16,0,Information Technology,Karnataka,13,11,1
68.0,36.3,0,79.6,0,16,0,Information Technology,Maharashtra,7,3,0
67.3,47.0,0,75.1,1,16,0,Information Technology,Karnataka,5,5,0
92.9,80.8,1,22.1,0,20,0,Information Technology,Gujarat,21,10,1
80.9,56.2,0,52.8,1,18,0,Information Technology,Maharashtra,14,7,1
78.0,60.8,1,44.5,0,24,1,Industrial Electronics,Maharashtra,13,9,0
89.6,72.7,1,39.1,1,14,0,Cloud Infrastructure,West Bengal,14,10,1
64.2,37.9,0,80.3,0,18,0,Information Technology,Karnataka,9,4,0
92.3,74.4,1,27.9,0,24,2,Industrial Electronics,Maharashtra,12,10,1
87.4,73.3,1,25.9,0,14,0,Cloud Infrastructure,Gujarat,10,9,1
65.8,38.0,0,74.5,1,16,0,Information Technology,Tamil Nadu,5,4,0
85.9,71.3,1,26.0,0,24,1,Industrial Electronics,Karnataka,13,10,1
86.6,70.7,1,30.9,0,16,1,Industrial Electronics,West Bengal,8,10,1
83.0,73.0,1,26.0,1,12,0,Cloud Infrastructure,Uttar Pradesh,10,10,1
82.2,65.0,1,37.9,0,12,0,Cloud Infrastructure,Tamil Nadu,6,8,1
71.6,48.3,0,73.9,1,12,0,Cloud Infrastructure,Tamil Nadu,5,5,0
70.6,51.7,1,57.5,1,16,0,Information Technology,Uttar Pradesh,3,8,1
80.0,62.1,0,46.3,0,18,1,Information Technology,Gujarat,13,6,1
66.8,40.1,0,75.0,0,20,0,Data Science & AI,Maharashtra,6,4,0
80.5,61.9,0,47.0,1,18,0,Information Technology,Telangana,9,6,1
78.3,62.1,0,45.5,0,14,1,Cloud Infrastructure,Tamil Nadu,14,7,1
58.6,32.0,0,80.6,1,16,0,Data Science & AI,Telangana,7,3,0
87.2,73.8,0,45.4,0,12,0,Cloud Infrastructure,West Bengal,17,8,1
63.4,42.3,0,79.7,1,12,0,Cloud Infrastructure,Rajasthan,12,5,0
83.1,66.2,1,38.7,1,16,0,Information Technology,Telangana,7,10,1
87.3,70.3,0,40.7,1,14,0,Healthcare Technology,Maharashtra,14,8,1
91.2,75.6,1,20.4,0,14,0,Information Technology,Delhi,13,12,1
64.3,38.6,0,72.0,0,12,0,Cloud Infrastructure,Tamil Nadu,5,5,0
66.0,43.8,0,64.6,1,24,0,Industrial Electronics,Kerala,8,5,1
85.5,67.2,1,40.2,0,20,0,Information Technology,Telangana,9,10,1
88.3,79.0,1,32.3,0,14,0,Data Science & AI,Delhi,15,9,1
69.8,45.9,0,73.2,0,12,0,Cloud Infrastructure,Tamil Nadu,4,4,0
87.1,71.6,1,22.9,1,14,0,Information Technology,Maharashtra,11,11,1
60.8,38.6,0,73.5,1,14,0,Information Technology,Maharashtra,6,5,0
65.4,48.3,0,69.8,0,14,0,Data Science & AI,Maharashtra,7,6,0
78.1,55.9,0,59.1,0,16,0,Cloud Infrastructure,Delhi,9,7,1
80.5,69.9,0,56.2,0,20,2,Information Technology,Karnataka,20,8,1
78.9,60.5,0,54.6,1,14,0,Healthcare Technology,Delhi,20,7,1
74.6,46.6,0,69.1,0,18,1,Information Technology,Maharashtra,8,4,0
93.1,77.8,1,21.0,1,20,0,Information Technology,Gujarat,10,10,1
89.7,85.1,1,30.1,0,14,0,Information Technology,Kerala,10,9,1
85.4,61.7,0,44.2,1,16,0,Cloud Infrastructure,Telangana,11,7,1
80.8,64.6,0,49.4,1,16,0,Information Technology,Maharashtra,17,8,1
88.2,68.6,1,27.7,0,20,0,Data Science & AI,Delhi,7,8,1
78.0,58.4,0,52.4,0,16,0,Data Science & AI,West Bengal,15,5,0
83.3,61.7,1,38.8,0,14,2,Cloud Infrastructure,West Bengal,12,10,1
80.6,60.9,1,34.8,1,16,0,Information Technology,Telangana,14,9,1
95.2,88.6,1,13.1,0,12,0,Cloud Infrastructure,Delhi,16,10,1
77.3,63.9,1,40.1,0,12,1,Healthcare Technology,Uttar Pradesh,17,10,1
82.8,62.4,1,39.6,0,20,0,Data Science & AI,Telangana,13,9,1
86.0,73.4,1,30.7,1,16,1,Information Technology,Karnataka,14,11,1
55.6,34.3,0,85.0,0,14,0,Information Technology,Maharashtra,5,2,0
80.0,63.0,1,33.9,0,12,1,Cloud Infrastructure,Tamil Nadu,16,8,1
90.4,79.2,1,32.1,0,18,0,Information Technology,Tamil Nadu,13,9,1
93.0,81.8,1,28.5,0,16,0,Information Technology,Delhi,15,9,1
82.9,65.3,0,51.3,0,14,0,Cloud Infrastructure,Karnataka,15,7,1
79.1,57.7,0,55.3,1,20,0,Information Technology,Karnataka,12,6,0
73.2,50.3,0,62.7,0,16,1,Information Technology,Uttar Pradesh,7,5,0
86.6,75.0,1,34.1,0,10,1,Healthcare Technology,Maharashtra,15,10,1
77.7,63.2,0,61.7,1,16,1,Industrial Electronics,Maharashtra,11,7,1
79.5,59.8,0,56.6,0,14,0,Data Science & AI,Karnataka,17,7,1
76.0,57.9,0,54.2,1,20,1,Information Technology,Tamil Nadu,18,5,1
68.9,47.5,0,63.2,1,20,1,Information Technology,Gujarat,6,6,1
76.5,63.0,0,51.0,1,16,0,Data Science & AI,Karnataka,11,5,1
78.8,59.8,1,41.3,0,20,0,Information Technology,West Bengal,6,8,0
73.6,57.1,1,55.3,0,16,0,Information Technology,Rajasthan,12,8,1
69.0,42.8,0,72.7,0,16,0,Data Science & AI,Maharashtra,1,5,0
67.6,40.1,0,70.4,0,24,0,Industrial Electronics,Gujarat,5,4,0
79.5,69.7,1,40.7,0,14,0,Data Science & AI,Telangana,12,9,1
69.7,54.7,0,60.0,0,18,0,Information Technology,Maharashtra,13,6,0
81.4,66.6,1,38.0,1,24,0,Industrial Electronics,Maharashtra,15,8,1
69.0,45.7,0,72.7,0,20,0,Data Science & AI,Maharashtra,9,5,0
86.0,65.7,0,46.4,0,14,1,Information Technology,Delhi,9,7,1
86.1,65.9,1,32.2,0,20,0,Data Science & AI,Maharashtra,14,11,1
71.4,48.5,1,60.6,0,24,1,Industrial Electronics,Maharashtra,8,6,1
91.0,87.4,1,34.6,1,10,0,Healthcare Technology,Rajasthan,13,10,1
95.6,80.2,1,18.9,0,16,0,Information Technology,Telangana,12,12,1
58.8,38.0,0,85.0,1,16,0,Data Science & AI,Tamil Nadu,3,4,0
78.7,58.2,1,34.2,0,14,1,Information Technology,Karnataka,14,9,1
83.8,70.1,1,37.5,0,20,0,Information Technology,West Bengal,6,9,1
61.0,32.0,0,70.3,1,14,0,Cloud Infrastructure,Uttar Pradesh,5,3,0
57.7,32.0,0,85.0,0,12,0,Industrial Electronics,Tamil Nadu,2,4,0
74.2,49.6,1,48.5,0,16,0,Data Science & AI,Maharashtra,19,9,1
86.3,71.9,1,38.2,0,16,2,Industrial Electronics,Kerala,7,8,1
82.8,63.4,1,30.9,0,16,0,Information Technology,Delhi,14,10,1
85.8,77.7,0,45.4,1,16,1,Industrial Electronics,West Bengal,7,8,1
79.1,68.1,1,37.7,0,16,0,Cloud Infrastructure,Karnataka,12,9,1
93.3,81.4,1,31.8,0,12,0,Industrial Electronics,Maharashtra,13,11,1
59.3,35.6,1,68.7,1,10,1,Healthcare Technology,Maharashtra,9,6,1
92.4,81.7,1,31.8,0,20,0,Information Technology,Kerala,13,11,1
76.0,50.2,0,60.8,0,16,4,Industrial Electronics,Telangana,16,7,1
77.9,56.8,0,55.2,0,14,1,Cloud Infrastructure,Karnataka,12,6,1
97.5,88.3,1,20.5,0,12,1,Healthcare Technology,Maharashtra,16,12,1
57.1,34.7,0,82.1,0,16,0,Cloud Infrastructure,Karnataka,9,3,0
80.6,66.4,0,50.1,1,14,0,Healthcare Technology,Karnataka,10,6,1
67.8,46.9,0,65.1,1,18,0,Information Technology,Telangana,10,5,0
89.3,79.0,1,34.8,0,14,0,Cloud Infrastructure,Karnataka,17,10,1
78.4,64.1,0,53.1,0,24,1,Industrial Electronics,West Bengal,8,6,1
86.7,68.3,0,37.3,0,14,1,Information Technology,Uttar Pradesh,12,7,1
71.9,54.0,1,51.6,0,12,4,Cloud Infrastructure,Kerala,5,8,1
83.4,60.2,1,43.5,0,10,0,Healthcare Technology,Kerala,8,8,1
89.7,82.9,1,22.4,0,12,0,Healthcare Technology,Telangana,14,9,1
75.8,51.0,1,49.0,1,12,0,Industrial Electronics,Telangana,4,8,1
68.5,49.8,0,65.0,0,18,0,Information Technology,Tamil Nadu,4,6,0
82.7,72.7,1,27.2,0,14,0,Data Science & AI,Kerala,17,10,1
80.3,65.0,1,39.5,0,16,0,Industrial Electronics,Telangana,9,9,1
89.3,80.5,1,19.9,0,24,0,Industrial Electronics,Telangana,7,9,1
86.1,72.3,1,29.9,1,16,0,Information Technology,Maharashtra,14,9,1
88.7,75.7,1,31.7,1,20,0,Information Technology,West Bengal,9,9,1
90.2,79.6,1,32.0,1,18,0,Information Technology,Maharashtra,9,10,1
71.7,51.2,0,68.9,0,16,0,Cloud Infrastructure,Maharashtra,10,5,1
74.7,60.1,0,52.7,1,10,1,Healthcare Technology,Uttar Pradesh,9,6,1
79.4,64.7,0,57.6,0,12,0,Cloud Infrastructure,West Bengal,14,5,1
88.8,82.3,1,31.6,0,16,0,Data Science & AI,Delhi,15,9,1
55.7,32.0,0,82.1,0,20,0,Information Technology,Kerala,3,2,0
64.7,44.8,0,63.5,0,14,0,Data Science & AI,Maharashtra,7,5,0
79.1,57.4,1,47.5,0,20,0,Information Technology,Delhi,19,9,1
92.0,79.5,1,29.8,0,12,0,Industrial Electronics,Karnataka,13,9,1
65.9,47.2,0,62.9,0,20,0,Information Technology,Karnataka,11,6,0
88.7,73.1,0,37.5,0,16,0,Cloud Infrastructure,Maharashtra,16,7,1
94.7,83.8,1,32.5,1,14,0,Cloud Infrastructure,Maharashtra,15,12,1
80.8,67.9,1,35.9,1,10,1,Healthcare Technology,Maharashtra,10,7,1
81.7,62.0,0,59.9,0,14,0,Healthcare Technology,Maharashtra,14,5,0
90.1,83.2,1,27.9,0,16,0,Data Science & AI,Maharashtra,17,12,1
90.2,76.1,0,41.3,0,16,0,Information Technology,Maharashtra,11,9,1
84.1,70.6,1,33.6,0,18,0,Information Technology,Karnataka,15,10,1
77.1,58.4,1,48.7,1,12,0,Industrial Electronics,Tamil Nadu,13,9,1
83.1,75.9,0,46.5,1,12,0,Cloud Infrastructure,West Bengal,13,7,1
93.9,83.1,1,20.3,0,20,0,Data Science & AI,Maharashtra,7,11,1
87.0,71.6,1,32.7,0,16,0,Information Technology,Maharashtra,10,9,1
70.3,48.4,1,56.0,1,20,3,Information Technology,Rajasthan,2,6,1
88.6,75.4,1,33.2,1,16,1,Information Technology,Karnataka,14,9,1
71.6,46.9,0,65.3,0,14,0,Cloud Infrastructure,Karnataka,11,5,1
61.8,36.6,1,66.6,0,24,4,Industrial Electronics,Maharashtra,7,5,1
88.8,77.6,1,35.9,0,16,2,Industrial Electronics,Maharashtra,19,9,1
64.6,46.2,0,72.9,0,14,1,Information Technology,Tamil Nadu,6,6,1
67.7,44.2,0,76.3,1,20,1,Information Technology,Maharashtra,4,6,1
80.6,64.1,1,46.2,0,14,0,Healthcare Technology,Gujarat,11,9,1
76.7,57.5,0,65.4,1,14,0,Healthcare Technology,Delhi,17,7,1
79.2,66.4,1,40.0,1,20,0,Information Technology,Telangana,16,8,1
67.9,46.9,1,61.4,0,14,1,Data Science & AI,Maharashtra,9,6,1
79.2,71.1,0,50.0,0,10,0,Healthcare Technology,Delhi,12,8,1
85.8,65.5,1,39.2,1,12,0,Industrial Electronics,Karnataka,15,9,1
82.9,69.9,1,47.8,1,16,0,Information Technology,Karnataka,12,8,1
76.8,59.5,1,36.8,0,14,0,Data Science & AI,Gujarat,10,8,1
81.7,61.5,1,44.3,0,14,1,Healthcare Technology,Telangana,7,10,1
95.1,81.2,1,24.9,0,12,0,Cloud Infrastructure,Telangana,12,10,0
66.1,46.1,0,78.9,0,16,1,Industrial Electronics,Gujarat,7,4,0
82.1,63.6,0,58.1,1,14,1,Information Technology,Gujarat,15,7,1
69.4,45.0,0,66.6,0,14,3,Data Science & AI,Telangana,6,5,1
75.9,55.6,1,48.2,0,12,0,Cloud Infrastructure,Tamil Nadu,13,7,1
68.5,50.8,0,69.4,0,20,0,Data Science & AI,Gujarat,5,5,0
78.0,53.1,0,50.6,0,14,0,Information Technology,Rajasthan,10,5,0
68.8,57.2,1,46.4,0,12,0,Healthcare Technology,Karnataka,10,6,1
81.3,69.7,0,43.4,0,20,0,Information Technology,Karnataka,13,8,1
77.8,63.7,0,52.1,0,20,0,Information Technology,Uttar Pradesh,7,6,0
94.5,79.3,1,26.9,0,14,1,Healthcare Technology,Karnataka,14,11,1
79.4,65.8,1,45.5,1,16,1,Data Science & AI,Telangana,5,10,1
97.3,80.5,1,16.8,1,16,0,Cloud Infrastructure,Uttar Pradesh,6,10,1
77.1,55.3,1,37.9,0,16,0,Data Science & AI,Karnataka,10,7,1
88.8,71.8,0,39.5,1,14,1,Cloud Infrastructure,Maharashtra,15,7,1
88.9,76.0,1,30.8,0,18,0,Information Technology,Uttar Pradesh,19,11,1
